2026-02-05 20:34:50.851 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:40:24.344 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:48:28.916 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:49:28.937 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:50:28.999 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:51:19.851 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:51:29.061 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:52:19.883 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:52:29.108 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:53:19.955 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
2026-02-05 20:53:29.162 [WARNING ] [core.services.arbitrage_monitor_v2.analysis.spread_calculator] _log_warning:710 - ⚠️  [多腿套利] LIGHTER_ETH_SPOT_PERP: 缺少订单簿数据: lighter/ETH-USDC-SPOT, lighter/ETH-USDC-PERP
